dim_name,table_schema,table_name,column_name
dim_admins,platforma,admins,userid
dim_admins,platforma,users,firstname
dim_admins,platforma,users,lastname
dim_students,platforma,students,userid
dim_students,platforma,users,firstname
dim_students,platforma,users,lastname
dim_course,platforma,courses,id
dim_course,platforma,courses,name
dim_course,platforma,courses,description
dim_course,platforma,prices,price
dim_course,platforma,prices,courseid
dim_instructor,platforma,instructors,id
dim_instructor,platforma,users,firstname
dim_instructor,platforma,users,lastname
dim_instructor,platforma,users,sex
dim_instructor,platforma,users,email
dim_instructor,platforma,instructors,age
dim_instructor,platforma,instructors,country
dim_instructor,platforma,instructors,userid
